1,50,20,10,-6.25,2.203,,1,50,20,10,-6.25,1.399
2,50,20,10,-6.2,1.073,,2,50,20,10,-6.2,0.677
3,50,20,10,-4.5,0.217,,3,50,20,10,-4.5,0.483
4,50,20,10,-5.142857143,1.544,,4,50,20,10,-5.142857143,1.986
5,50,20,10,-4,0.878,,5,50,20,10,-4,0.746
6,50,20,10,-5.2,1.827,,6,50,20,10,-5.2,1.597
7,50,20,10,-5.499999997,5.3,,7,50,20,10,-5.499999995,13.482
8,50,20,10,-4.666666663,0.327,,8,50,20,10,-4.666666663,3.272
9,50,20,10,-4,0.07,,9,50,20,10,-4,0.126
10,50,20,10,-7.4,1.219,,10,50,20,10,-7.4,15.211
11,50,20,10,-10,0.041,,11,50,20,10,-10,0.1
12,50,20,10,-5.5,2.279,,12,50,20,10,-5.5,2.621
13,50,20,10,-5.5,0.405,,13,50,20,10,-5.5,6.512
14,50,20,10,-6.25,0.959,,14,50,20,10,-6.25,5.356
15,50,20,10,-4.714285714,1.208,,15,50,20,10,-4.714285714,2.706
16,50,20,10,-5,0.722,,16,50,20,10,-5,6.759
17,50,20,10,-3.5,0.725,,17,50,20,10,-3.5,5.887
18,50,20,10,-3.625,1.29,,18,50,20,10,-3.625,10.959
19,50,20,10,-4.6,0.419,,19,50,20,10,-4.6,5.459
20,50,20,10,-5.5,0.656,,20,50,20,10,-5.5,6.133
21,50,20,10,-6.2,0.822,,21,50,20,10,-6.2,6.059
22,50,20,10,-4,0.534,,22,50,20,10,-4,3.512
23,50,20,10,-4.6,0.692,,23,50,20,10,-4.6,6.473
24,50,20,10,-5.666666662,3.913,,24,50,20,10,-5.666666662,17.626
25,50,20,10,-5.333333333,1.731,,25,50,20,10,-5.333333333,3.578
26,50,20,10,-7,0.662,,26,50,20,10,-7,4.804
27,50,20,10,-4.999999998,0.204,,27,50,20,10,-4.999999998,5.486
28,50,20,10,-7,0.468,,28,50,20,10,-7,3.146
29,50,20,10,-7.624999989,3.485,,29,50,20,10,-7.625,13.293
30,50,20,10,-6.4,0.816,,30,50,20,10,-6.4,5.901
