1,20,20,16,-4.666666667,0.596
2,20,20,16,-4.666666667,0.239
3,20,20,16,-4.8,0.698
4,20,20,16,-10,0.073
5,20,20,16,-3.285714286,0.575
6,20,20,16,-7,0.725
7,20,20,16,-5.857142857,1.967
8,20,20,16,-4.333333333,1.229
9,20,20,16,-6.25,1.637
10,20,20,16,-5.142857143,1.151
11,20,20,16,-4,1.652
12,20,20,16,-6,1.647
13,20,20,16,-4.5,1.119
14,20,20,16,-6,1.12
15,20,20,16,-7.25,1.009
16,20,20,16,-5.5,1.132
17,20,20,16,-6,1.312
18,20,20,16,-6.8,0.598
19,20,20,16,-7,1.551
20,20,20,16,-6,0.274
21,20,20,16,-4.5,5.739
22,20,20,16,-5.5,14.25
23,20,20,16,-4.666666667,0.854
24,20,20,16,-5.833333333,1.178
25,20,20,16,-4.714285714,1.117
26,20,20,16,-4.2,1.453
27,20,20,16,-6,2.283
28,20,20,16,-5,2.272
29,20,20,16,-3.5,0.524
30,20,20,16,-6.999999999,4.906
